name,sku,buy_url,image_url,description_long,price,in_stock,manufacturer,
Azazel Regal Dragon Figurine,SDH1911-680,https://www.jaystrongwater.com/fall/azazel-regal-dragon-figurine-sdh1911-680,https://www.jaystrongwater.com/img/product/SDH1911-680-Z.jpg?fv=3674BBE9C3742A06DE93C5CE5A4B3983-96062, The exotic allure of the Azazel Regal Dragon Figurine began as a clay model highlighting his curved body covered in overlapping scales with his dramatic outstretched wings. The final piece is molded in pewter - finished in silver and painted with slate - charcoal - and graphite enamels with over 700 sparkling hand-set Swarovski crystals. Our finest artisans at the Jay Strongwater Rhode Island workshop bring all the elements together to make each Imperial Dragon Figurine. Limited to an edition of 150.,3200,In Stock,Jay Strongwater,
Frida Skull with Butterflies Figurine,SDH1909-289,https://www.jaystrongwater.com/fall/frida-skull-with-butterflies-figurine-sdh1909-289,https://www.jaystrongwater.com/img/product/SDH1909-289_alt3-Z.jpg?fv=CCAFF17162B8747D86B3226A8F5A4952-159240, Inspired by the great heritage of Mexican Sugar skulls - we first carved our Frida Skull in clay with a raised all-over floral pattern highlighted with jeweled fluttering butterflies. Casted in pewter - finished in 18K gold and beautifully painted in 21 colors of enamel by our finest artisans in Rhode Island. Our Frida Skull sparkles with hand-set Swarovski crystals in shades of Fuchsia - Padparadscha and Tanzanite.,4200,In Stock,Jay Strongwater,
Sabrina Feather Vase,SDH2398-292,https://www.jaystrongwater.com/composition-2/sabrina-feather-vase-sdh2398-292,https://www.jaystrongwater.com/img/product/SDH2398-292-Z.jpg?fv=D7F7CE81E4AA6008FB29162EB44FCC3C-64048, This gracefully proportioned vase holds a beautiful bouquet and makes the perfect gift! Fluted gold speckled glass vase lifted on a stylized feather metal base finished in gold with sparkling crystals.,795,In Stock,Jay Strongwater,
Leonard Pave Corner  4in x 6in Frame,SPF5830-224,https://www.jaystrongwater.com/love-collection/leonard-pave-corner-4-x-6-frame-spf5830-224,https://www.jaystrongwater.com/img/product/SPF5830-224_web_1-Z.jpg?fv=F2636EA4013B5E04C38EB7F6CA034D21-72224, Layers of hand-painted translucent ruby enamel surround this frame with a dazzling luminosity. This Pave Corner Frame was casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all ruby enamel back plate – this frame is truly beautiful from any view.  Stands vertically only.,395,In Stock,Jay Strongwater,
Ana Pineapple Box,SDH7396-280,https://www.jaystrongwater.com/floral/ana-pineapple-box-sdh7396-280,https://www.jaystrongwater.com/img/product/SDH7396-280-Z.jpg?fv=C62FF869A6CBC710087A91ED722C4CF5-93361, The incredibly lush Ana Pineapple Box has been totally blinged out with thousands of Swarovski crystals in tones of Citrine and Topaz. Casted in pewter - finished in 14K gold and beautifully painted in golden yellow enamels and leafy greens for the crown by our finest artisans in Rhode Island with a pop of a bright fuchsia enamel interior.,6500,In Stock,Jay Strongwater,
Leonard Pave Corner  4in x 6in Frame,SPF5830-224,https://www.jaystrongwater.com/love/leonard-pave-corner-4-x-6-frame-spf5830-224,https://www.jaystrongwater.com/img/product/SPF5830-224_web_1-Z.jpg?fv=F2636EA4013B5E04C38EB7F6CA034D21-72224, Layers of hand-painted translucent ruby enamel surround this frame with a dazzling luminosity. This Pave Corner Frame was casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all ruby enamel back plate – this frame is truly beautiful from any view.  Stands vertically only.,395,In Stock,Jay Strongwater,
Bartram White Marble 5in x 7in Frame,SPF5865-283,https://www.jaystrongwater.com/composition-2/bartram-white-marble-5-x-7-frame-spf5865-283,https://www.jaystrongwater.com/img/product/SPF5865-283-Z.jpg?fv=D9D82F1171D672C45354567CD1A02A19-47616, Place family photos in these modern frames featuring carved stones from our jewelry workbench. Each Bartram 5in x 7in Frame begins with a large chunk of white marble that is finely shaped and polished by hand. The cabochons are held in place by hammered metal corners and an intricately designed back plate in 18K gold finish. Due to the natural material - each design is truly one of a kind. Frames stand vertically or horizontally. Imported stones; all metal from Rhode Island.,1200,In Stock,Jay Strongwater,
Leslie Bejeweled 5in x 7in Frame,SPF5844-224,https://www.jaystrongwater.com/love/leslie-bejeweled-5-x-7-frame-spf5844-224,https://www.jaystrongwater.com/img/product/SPF5844-224_web_1-Z.jpg?fv=534C13718FCD405BF75DC0066B453851-108885, Surround your true love with a waterfall of Swarovski’s finest faceted large crystal stones in tones of Ruby - Scarlet and Siam wrapping around a slim enameled border.  This Bejeweled Frame was casted in pewter - finished in 14K gold and beautifully painted in luminous ruby enamels by our finest artisans in Rhode Island. With our signature fleur-de-lis metal back plate and kickstand – this frame is truly beautiful from any view.  Stands vertically or horizontal. ,1200,In Stock,Jay Strongwater,
Xavier Snake Box,SDH7395-283,https://www.jaystrongwater.com/fall/xavier-snake-box-sdh7395-283,https://www.jaystrongwater.com/img/product/SDH7395-283-Z.jpg?fv=6B20B1D8062503C477A39C6AE1324C35-47383, In the Composition collection - we put aside our enamels and crystals and allow the natural beauty of the carved metals to shine through. A coiled 18K gold finished snake – engraved with a stripe pattern - is perfectly perched on the lid of the Xavier Snake Box. Snake casted in pewter and hand-polished from our artisans in Rhode Island. Imported hand-cut and polished white marble box.,650,In Stock,Jay Strongwater,
Everett Floral & Scroll Coffee Table,SHW3299-450,https://www.jaystrongwater.com/floral/everett-floral-scroll-coffee-table-shw3299-450,https://www.jaystrongwater.com/img/product/SHW3299-450_1-Z.jpg?fv=62FA37A6217E92FF0D37D1912D116E71-43962,The Everett Floral & Scroll Coffee Table began at a specialized foundry in Asia where iron rods are hammered - curled - and soldered to form the elaborate top and graceful curved legs. In Rhode Island - individual orchid - peony - tulip - and butterflies are casted in pewter and finished in 14K Gold. The Jay Strongwater artisans in Rhode Island paint the garden palette of enamels on each piece - highlighted with over fifteen hundred Swarovski crystals. Our finest artisans bring all the elements together to make each coffee table - a fascinating composition of flora under the beveled glass top.,18000,In Stock,Jay Strongwater,
Xavier Snake Box,SDH7395-283,https://www.jaystrongwater.com/composition-2/xavier-snake-box-sdh7395-283,https://www.jaystrongwater.com/img/product/SDH7395-283-Z.jpg?fv=6B20B1D8062503C477A39C6AE1324C35-47383, In the Composition collection - we put aside our enamels and crystals and allow the natural beauty of the carved metals to shine through. A coiled 18K gold finished snake – engraved with a stripe pattern - is perfectly perched on the lid of the Xavier Snake Box. Snake casted in pewter and hand-polished from our artisans in Rhode Island. Imported hand-cut and polished white marble box.,650,In Stock,Jay Strongwater,
Elva Butterfly and Leaf  Vase,SDH2517-289,https://www.jaystrongwater.com/fall/elva-butterfly-and-leaf-vase-sdh2517-289,https://www.jaystrongwater.com/img/product/SDH2517-289-Z.jpg?fv=946087D9BA468B61FCAADC1C45D342DE-85486, A lavish spray of leaves holding the rippled glass vase is alighted with jeweled fluttering butterflies. Each Elva Butterfly and Leaf vase is first sand casted in brass and then adorned with the 18K gold finished butterflies. Our artisans in Rhode Island hand-paint the leaves in shades of green and deep lavender enamel while painting the butterflies in golden ambers. Hand-set with golden Swarovski crystals. Beautiful filled with flowers or illuminated with a pillar candle.,4400,In Stock,Jay Strongwater,
