name,sku,buy_url,image_url,description_long,price,in_stock,manufacturer,
Edgar Giraffe Figurine,SDH1869-696,https://www.jaystrongwater.com/platinum-1/edgar-giraffe-figurine-sdh1869-696,https://www.jaystrongwater.com/img/product/SDH1869-696-Z.jpg?fv=6F70645CA5711768FB3198E9CEFBBB71-60341, The exotic allure of a safari inspires the Edgar Giraffe Figurine. Beginning with a clay model highlighting his spotted body - the final piece is molded in pewter - finished in silver and painted with slate - charcoal - and graphite enamels with over 500 sparkling hand-set Swarovski crystals. Our finest artisans at the Jay Strongwater Rhode Island workshop bring all the elements together to make each Giraffe Figurine. ,2000,In Stock,Jay Strongwater,
Sophie Hydrangea Glass Bowl,SDH2307-284,https://www.jaystrongwater.com/indigo/sophie-hydrangea-glass-bowl-sdh2307-284,https://www.jaystrongwater.com/img/product/SDH2307-284_1-Z.jpg?fv=04B6FCA37F18AF996D5F5DBC0022DF44-90268,Antique Chinese blue-and-white porcelain inspired the hand-painted hydrangea blossoms that delicately crown this large mottled blue - blown glass bowl. The beautiful bouquet rests upon a base of woven leaves. Each Sophie Hydrangea Glass Bowl is individually crafted with glass from Portugal and cast pewter - finished in gold - and enameled and set with crystals in our New York workshop.,3000,In Stock,Jay Strongwater,
Gavin Crab Box,SDH7332-230,https://www.jaystrongwater.com/coastal/gavin-crab-box-sdh7332-230,https://www.jaystrongwater.com/img/product/SDH7332-230_1-Z.jpg?fv=933364A43C8009058303E1E987766B1A-71120,Gavin Crab Box,850,In Stock,Jay Strongwater,
Channing Nautilus Shell w Marble Base,SDH2362-230,https://www.jaystrongwater.com/coastal/channing-nautilus-shell-w-marble-base-sdh2362-230,https://www.jaystrongwater.com/img/product/SDH2362-230_1-Z.jpg?fv=CB46ACB17F2689345B0CBD82C4B57984-77582,Depicted in hammered bezels - individually fitted together and set with faceted crystal stones and pearls - the cast metal Channing Nautilus Shell with Marble Base is finished in gold - and hand-enameled and set with Swarovski® crystals by skilled artisans in New York. Shimmering with light from the deep blue sea in shades of white opal - aquamarine - and light azure - it’s beautiful in any setting.,1800,In Stock,Jay Strongwater,
Beau Pedestal Bowl,SDH2435-228,https://www.jaystrongwater.com/indigo/beau-pedestal-bowl-sdh2435-228,https://www.jaystrongwater.com/img/product/SDH2435-228_1-Z.jpg?fv=52D088192AE4948505B9AF2A70A63CB8-52269,A new technique allows thin flecks of gold leaf to speckle the surface of the sapphire-blue-shaded enamel on the sculptural base of the gorgeous Beau Pedestal Bowl.,3500,In Stock,Jay Strongwater,
Azazel Regal Dragon Figurine,SDH1911-680,https://www.jaystrongwater.com/platinum-1/azazel-regal-dragon-figurine-sdh1911-680,https://www.jaystrongwater.com/img/product/SDH1911-680-Z.jpg?fv=3674BBE9C3742A06DE93C5CE5A4B3983-96062, The exotic allure of the Azazel Regal Dragon Figurine began as a clay model highlighting his curved body covered in overlapping scales with his dramatic outstretched wings. The final piece is molded in pewter - finished in silver and painted with slate - charcoal - and graphite enamels with over 700 sparkling hand-set Swarovski crystals. Our finest artisans at the Jay Strongwater Rhode Island workshop bring all the elements together to make each Imperial Dragon Figurine. Limited to an edition of 150.,3200,In Stock,Jay Strongwater,
Clara Floral Branch Box,SDH7389-289,https://www.jaystrongwater.com/brocade-1/clara-floral-branch-box-sdh7389-289,https://www.jaystrongwater.com/img/product/SDH7389-289_alt1-Z.jpg?fv=679AF0AE47BA69DBFF2D72A42B80F361-44690, A lavish bouquet of flowers and leaves are draped over the long porcelain Clara box alighted with a jeweled butterfly. Casted in pewter - finished in 18K gold and beautifully painted in shades of magenta - plum and lilac enamels by our finest artisans in Rhode Island. This box sparkles with hand-set Swarovski crystals. Cream glazed porcelain with a high-fired gold edging crafted in Portugal.,1200,In Stock,Jay Strongwater,
Frida Skull with Butterflies Figurine,SDH1909-289,https://www.jaystrongwater.com/brocade-1/frida-skull-with-butterflies-figurine-sdh1909-289,https://www.jaystrongwater.com/img/product/SDH1909-289_alt3-Z.jpg?fv=CCAFF17162B8747D86B3226A8F5A4952-159240, Inspired by the great heritage of Mexican Sugar skulls - we first carved our Frida Skull in clay with a raised all-over floral pattern highlighted with jeweled fluttering butterflies. Casted in pewter - finished in 18K gold and beautifully painted in 21 colors of enamel by our finest artisans in Rhode Island. Our Frida Skull sparkles with hand-set Swarovski crystals in shades of Fuchsia - Padparadscha and Tanzanite.,4200,In Stock,Jay Strongwater,
Finley Fish Round Porcelain Box,SDH7384-239,https://www.jaystrongwater.com/coastal/finley-fish-round-porcelain-box-sdh7384-239,https://www.jaystrongwater.com/img/product/SDH7384-239_1-Z.jpg?fv=F41DB8C8F91170569EA9BFF697E8CB29-61071,Finley the fish is a showstopper in his bright yellow and cerulean blue enameled stripes highlighted in white opal colored crystals. Hand-enameled with hand-set crystals on a cream porcelain box. Perfect keepsake that never fails to charm and delight!,250,In Stock,Jay Strongwater,
Xavier Snake Box,SDH7395-283,https://www.jaystrongwater.com/composition-2/xavier-snake-box-sdh7395-283,https://www.jaystrongwater.com/img/product/SDH7395-283-Z.jpg?fv=6B20B1D8062503C477A39C6AE1324C35-47383, In the Composition collection - we put aside our enamels and crystals and allow the natural beauty of the carved metals to shine through. A coiled 18K gold finished snake – engraved with a stripe pattern - is perfectly perched on the lid of the Xavier Snake Box. Snake casted in pewter and hand-polished from our artisans in Rhode Island. Imported hand-cut and polished white marble box.,650,In Stock,Jay Strongwater,
