name,sku,buy_url,image_url,description_long,price,in_stock,manufacturer,
Clara Floral Branch Box,SDH7389-289,https://www.jaystrongwater.com/brocade-1/clara-floral-branch-box-sdh7389-289,https://www.jaystrongwater.com/img/product/SDH7389-289_alt1-Z.jpg?fv=679AF0AE47BA69DBFF2D72A42B80F361-44690, A lavish bouquet of flowers and leaves are draped over the long porcelain Clara box alighted with a jeweled butterfly. Casted in pewter - finished in 18K gold and beautifully painted in shades of magenta - plum and lilac enamels by our finest artisans in Rhode Island. This box sparkles with hand-set Swarovski crystals. Cream glazed porcelain with a high-fired gold edging crafted in Portugal.,1200,In Stock,Jay Strongwater,
Leonard Pave Corner  4in x 6in Frame,SPF5830-202,https://www.jaystrongwater.com/great-gifts-1/leonard-pave-corner-4-x-6-frame-spf5830-202,https://www.jaystrongwater.com/img/product/SPF5830-202-Z.jpg?fv=449E99FB8FAB546A5B49033E22BC5A90-82321, The art of meticulously hand blending ten colors of enamel paints a vivid rainbow around the Leonard Pave Corner Frame. Casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all cream enamel back plate – this frame is truly beautiful from any view. ,395,In Stock,Jay Strongwater,
Sunny Floral Bunny Figurine,SDH1903-256,https://www.jaystrongwater.com/easter-1/sunny-floral-bunny-figurine-sdh1903-256,https://www.jaystrongwater.com/img/product/SDH1903-256_1-Z.jpg?fv=C2C6218F32206130EABBE205BD88D06E-74513,Our adorable bunny is wearing a beautiful new coat of delicately engraved floral sprays set with rose - lavender and jonquil Swarovski crystals. This figurine began as a clay model capturing his inquisitive pose and was molded into the final solid pewter version finished in 14K Gold. Our finest artisans at the Jay Strongwater Rhode Island workshop apply swirled layers of white and cream enamels before the floral engravings are highlighted in pinks - apricots and leaf shaded enamels. The Sunny Floral Bunny Figurine is limited to an edition of 300 pieces.,1800,In Stock,Jay Strongwater,
Leland Pave Corner 2in Frame,SPF5130-224,https://www.jaystrongwater.com/love/leland-pave-corner-2-frame-spf5130-224,https://www.jaystrongwater.com/img/product/SPF5130-224_web_1-Z.jpg?fv=4228F1216F5EE733848F70E630BFA05C-53567, Layers of hand-painted translucent ruby enamel surround this frame with a dazzling luminosity. This Pave Corner Square Frame was casted in pewter - finished in 14K gold - and hand-set with sparkling Swarovski champagne crystals. With our signature - all ruby enamel back plate – this frame is truly beautiful from any view. ,100,In Stock,Jay Strongwater,
Mariah Orchid in Cachepot,SDH2385-256,https://www.jaystrongwater.com/bloomsbury/mariah-orchid-in-cachepot-sdh2385-256,https://www.jaystrongwater.com/img/product/SDH2385-256_1-Z.jpg?fv=C473941FB9E27B85E6E8B400CBFF545D-61439,Jay Strongwater might not have an actual garden to toil in - but the Mariah Orchid in Cachepot grew from the seed of an idea in the New York studio - from early design to the first carved wax model capturing each orchid petal’s fluttering shape. These lush and exotic orchids are nurtured by artisans as they are molded in pewter; dipped in 14K gold; painted in magenta - violet - and lilac enamels; and set with sparkling gem-cut crystals. The velvety blossoms grace each piece with their fragile beauty on a background of creamy white enamel and glass. A gently arched branch covered in vibrant orchids rises from a mouth-blown glass cachepot.,3400,In Stock,Jay Strongwater,
Ronan Baby Seal Mini Figurine,SDH1776-280,https://www.jaystrongwater.com/miniatures/ronan-baby-seal-mini-figurine-sdh1776-280,https://www.jaystrongwater.com/img/product/SDH1776-280_1-Z.jpg?fv=8DC7E052DD899B86A3292CEDD0082060-46759, Our adorable mini seal figurine is the perfect addition to a playful menagerie of animals with all the details you have come to expect from Jay Strongwater. Brilliantly bejeweled with expert metalwork - enameling and hand-set Swarovski crystals. 2in wide - 1in Tall - 1.5in Deep.,195,In Stock,Jay Strongwater,
Leslie Bejeweled 5in x 7in Frame,SPF5844-224,https://www.jaystrongwater.com/love/leslie-bejeweled-5-x-7-frame-spf5844-224,https://www.jaystrongwater.com/img/product/SPF5844-224_web_1-Z.jpg?fv=534C13718FCD405BF75DC0066B453851-108885, Surround your true love with a waterfall of Swarovski’s finest faceted large crystal stones in tones of Ruby - Scarlet and Siam wrapping around a slim enameled border.  This Bejeweled Frame was casted in pewter - finished in 14K gold and beautifully painted in luminous ruby enamels by our finest artisans in Rhode Island. With our signature fleur-de-lis metal back plate and kickstand – this frame is truly beautiful from any view.  Stands vertically or horizontal. ,1200,In Stock,Jay Strongwater,
Adelaide Leaf & Flower Mirror,SHM3023-250,https://www.jaystrongwater.com/floral/adelaide-leaf-flower-mirror-shm3023-250,https://www.jaystrongwater.com/img/product/SHM3023-250_1-Z.jpg?fv=3B184CA23FEE8913B66980086C0ECAA0-128434,Our greenhouse is fully blossoming with jeweled orchids - lilies - and poppies adorning this magnificent Adelaide Flora & Fauna Mirror - wreathed in enameled foliage with fluttering butterflies. Over 100 separate metal designs - each finished in 14K gold - are fitted together by artisans in Rhode Island and New York. Painted with thirty-one colors of enamel and more than 4 - 000 hand-set Swarovski® crystals. Can be hung vertically or horizontally.,26000,In Stock,Jay Strongwater,
Wyatt Zebra 5in x 7in Frame,SPF5799-202,https://www.jaystrongwater.com/pop-life/wyatt-zebra-5-x-7-frame-spf5799-202,https://www.jaystrongwater.com/img/product/SPF5799-202-Z.jpg?fv=39217BE32691F477E6EF87D812A7E56D-128721, We have opened our paint box of enamels and painted the zebra pattern Wyatt frame in a pop of rainbow stripes! Casted in pewter - finished in 14K gold and beautifully painted in over 12 vivid enamels by our finest artisans in Rhode Island and sparkling with hand-set Swarovski prismatic crystals. With our signature - fleur-de-lis metal back plate and kickstand – this frame is truly beautiful from any view.  Stands vertically or horizontal.,2800,In Stock,Jay Strongwater,
Melvin Mini Butterfly Fish Figurine,SDH1820-239,https://www.jaystrongwater.com/miniatures/melvin-mini-butterfly-fish-figurine-sdh1820-239,https://www.jaystrongwater.com/img/product/SDH1820-239_w-Z.jpg?fv=FFF1F8BCAE50818F328195B63FB8090C-65890,Melvin the fish is a showstopper in his hues of canary yellow and orange enamels. Hand-enameled with hand-set crystals - he is the perfect keepsake that never fails to charm and delight! ,195,In Stock,Jay Strongwater,
