id,title,category,description,link,image_link,availability,price,brand,identifier_exists 
1019321,Gorilla in Paradise,Fine European Glass,Gorillas face many pressures from poaching - disease and habitat loss and their populations have been decreasing for decades. All sub-species of gorillas are classified as “Critically Endangered.” Christopher Radko created this ornament in collaboration with Animal Planet to bring awareness to species who are on - or close to being on - the endangered list due to habitat loss and poaching.,https://www.christopherradko.com/ProductInfo/1019321.aspx,https://www.christopherradko.com/images/products/1019321_M.jpg,In Stock,76.00,Christopher Radko,no
1019328,Eye Of The Tiger,Fine European Glass,Tigers have been on the planet for almost 2 million years and are the largest wild cats in the world. A century ago there were 100 - 000 tigers in the wild but poaching and habitat loss have reduced their population to as few as 3 - 890 today. To learn how you can help go to www.projectcat.discovery.com,https://www.christopherradko.com/ProductInfo/1019328.aspx,https://www.christopherradko.com/images/products/1019328_M.jpg,In Stock,76.00,Christopher Radko,no
1019329,Black and White Beauty,Fine European Glass,Zebras are most recognizable due to their unique coat - which also makes them a popular target for hunters. Habitat loss also plays a part in their declining numbers. Christopher Radko created this ornament in collaboration with Animal Planet to bring awareness to species who are on - or close to being on - the endangered list due to habitat loss and poaching.,https://www.christopherradko.com/ProductInfo/1019329.aspx,https://www.christopherradko.com/images/products/1019329_M.jpg,In Stock,76.00,Christopher Radko,no
1019458,Midnight Compeller,Fine European Glass,Hunting and human encroachment have caused panther populations to decline in parts of their historical range. Wildlife corridors and sufficient land to roam are crucial for the survival of their species. Christopher Radko created this ornament in collaboration with Animal Planet to bring awareness to species who are on - or close to being on - the endangered list due to habitat loss and poaching.,https://www.christopherradko.com/ProductInfo/1019458.aspx,https://www.christopherradko.com/images/products/1019458_M.jpg,In Stock,76.00,Christopher Radko,no
1019630,Frosted Flakes - They're GRRRREAT!,Fine European Glass,Put a tiger on your team with Tony the Tiger the #1 icon for Frosted Flakes. “They’re GRREAT!!” Tony remarks after having a tasty bowl of Frosted Flakes cereal!,https://www.christopherradko.com/ProductInfo/1019630.aspx,https://www.christopherradko.com/images/products/1019630_M.jpg,In Stock,70.00,Christopher Radko,no
1019693,Paddington Bear,Fine European Glass,Where is Paddington off to next? Our loveable bear sets off wearing the iconic red hat his Uncle Pastuzo gave to him as well as carrying the old battered suitcase with a secret compartment to hold more than it appears it can!,https://www.christopherradko.com/ProductInfo/1019693.aspx,https://www.christopherradko.com/images/products/1019693_M.jpg,In Stock,70.00,Christopher Radko,no
1019629,OOT-Fray OOPS-Lay Vintage Froot Loops!,Fine European Glass,This item is available for pre-order and will be shipping in the Spring.Follow Toucan Sam and his rainbow nose on a journey to deliciousness! Check out the fruity hat that adorns Toucan Sam’s head - impressive!,https://www.christopherradko.com/ProductInfo/1019629.aspx,https://www.christopherradko.com/images/products/1019629_M.jpg,In Stock,70.00,Christopher Radko,no
1020045,A Refreshing Treat!,Fine European Glass,This item is available for pre-order and will be shipping in the spring.Frosty has taken on a new look! This strawberry - lemon and blue raspberry frozen confection is a deliciously fun & refreshing treat for your Christmas tree!,https://www.christopherradko.com/ProductInfo/1020045.aspx,https://www.christopherradko.com/images/products/1020045_M.jpg,In Stock,60.00,Christopher Radko,no
1019766,Triumphant Elephant,Fine European Glass,The largest land mammal on earth - elephants were once very prevalent throughout Africa and Asia. During the 20th century - the ivory trade decimated their numbers and poaching and habitat loss still threaten the health of elephant populations today.Christopher Radko created this ornament in collaboration with Animal Planet to bring awareness to species who are on - or close to being on - the endangered list due to habitat loss and poaching.,https://www.christopherradko.com/ProductInfo/1019766.aspx,https://www.christopherradko.com/images/products/1019766_M.jpg,In Stock,76.00,Christopher Radko,no
1020006,Santa Has Great Taste!,Fine European Glass,This item is available for pre-order and will be shipping in the spring.So many options! Fan favorites since the 1920s - Good Humor bars are showcased on the sides of this delicious truck! From Strawberry Shortcake to Chocolate Éclair to Toasted Almond - which flavor will you chose?,https://www.christopherradko.com/ProductInfo/1020006.aspx,https://www.christopherradko.com/images/products/1020006_M.jpg,In Stock,66.00,Christopher Radko,no
1020003,Speeding Through The City,Fine European Glass,This item is available for pre-order and will be shipping in the spring.Santa has chosen the famous rapid transit service aka the North Pole subway! The spiffy holiday decorations dress up the normally gray speedy method of transportation!,https://www.christopherradko.com/ProductInfo/1020003.aspx,https://www.christopherradko.com/images/products/1020003_M.jpg,In Stock,66.00,Christopher Radko,no
1020053,MTA Santa’s NY Travels!,Fine European Glass,This item is available for pre-order and will be shipping in the Spring.Follow Saint Nick through the New York City subway system - delivering gifts to families along the way! Take the express 2 train to hit the Bronx - Manhattan - and Brooklyn in record time!  Don't forget your MetroCard!,https://www.christopherradko.com/ProductInfo/1020053.aspx,https://www.christopherradko.com/images/products/1020053_M.jpg,In Stock,70.00,Christopher Radko,no
